System ID,System Name,System X,System Y,Link South (Down),Link East (Left),Link West (Right),Link North (Up),Star 1 ID,Star 1 Size,Star 1 Color,Star 1 Spectral Class,Star 1 Heat (0-10),Star 1 Flares (0-10),Star 1 Special,Star 1 Name,System Type*,Star 1 X,Star 1 Y,Star 2 ID,Star 2 Size,Star 2 Color,Star 2 Spectral Class,Star 2 Heat (0-10),Star 2 Name,Star 2 X,Star 2 Y,Binary Type*,Accretion Disk ID,ID Carryover,Accretion Disk Heat (0-10),Star 3 ID,Star 3 Size,Star 3 Color,Star 3 Spectral Class,Star 3 Heat (0-10),Star 3 Flares (0-10),Star 3 Name,Star 3 X,Star 3 Y,Plasma 0-10,Dustiness 0-10,Ambient Ionization 0-10,System Baseline Heat,"Asteroids (CSM, SML) 0-10",Roid Ice?,Sensor Interference 0-10,Turbulence 0-10,Charge Storms 0-10,Heat Storms 0-10,Combo Storms 0-10,Total Flares 0-10,Burn Rate 0-10,Planet 1 Exists?,Planet 1 ID,Planet 1 Name,Planet 1 Volcanism 0-10,(Planet 1 Roid Type),Planet 1 Size,Planet 1 Gravity,Planet 1 Tidal Lock?,Planet 1 Atmosph. Thickness 0-10,Planet 1 O2 0-10,Planet 1 CO2 0-10,Planet 1 Flamm. 0-10,Planet 1 Toxins 0-10,Planet 1 Equatorial / Dayside Temp,Planet 1 Polar / Nightside Temp,Planet 1 Cloud Density 0-10,Planet 1 Equatorial / Dayside Volatiles Desc,Planet 1 Polar / Nightside Volatiles Desc,Planet 1 Clouds Desc,Planet 1 Type,Planet 1 Geographic Features,Planet 1 Activity,Planet 1 X,Planet 1 Y,Planet 2 Exists?,Planet 2 ID,Planet 2 Name,Planet 2 Volcanism 0-10,(Planet 2 Roid Type),Planet 2 Size,Planet 2 Gravity,Planet 2 Tidal Lock?,Planet 2 Atmosph. Thickness 0-10,Planet 2 O2 0-10,Planet 2 CO2 0-10,Planet 2 Flamm. 0-10,Planet 2 Toxins 0-10,Planet 2 Equatorial / Dayside Temp,Planet 2 Polar / Nightside Temp,Planet 2 Cloud Density 0-10,Planet 1 Equatorial / Dayside Volatiles Desc,Planet 2 Polar / Nightside Volatiles Desc,Planet 2 Clouds Desc,Planet 2 Type,Planet 2 Geographic Features,Planet 2 Activity,Planet 2 X,Planet 2 Y,Planet 3 Exists?,Planet 3 ID,Planet 3 Name,Planet 3 Total Heat,Planet 3 Volcanism 0-10,(Planet 3 Roid Type),Planet 3 Size,Planet 3 Gravity,Planet 3 Tidal Lock?,Planet 3 Atmosph. Thickness 0-10,Planet 3 O2 0-10,Planet 3 CO2 0-10,Planet 3 Flamm. 0-10,Planet 3 Toxins 0-10,Planet 3 Equatorial / Dayside Temp,Planet 3 Polar / Nightside Temp,Planet 3 Cloud Density 0-10,Planet 3 Equatorial / Dayside Volatiles Desc,Planet 3 Polar / Nightside Volatiles Desc,Planet 3 Clouds Desc,Planet 3 Type,Planet 3 Geographic Features,Planet 3 Activity,Planet 3 X,Planet 3 Y,Moon 1 Exists?,Moon 1 ID,Moon 1 Planet,Moon 1 Name,Moon 1 Size,Moon 1 Gravity,Moon 1 Volcanism,Moon 1 Atmosph. Thickness 0-10,Moon 1 O2 0-10,Moon 1 CO2 0-10,Moon 1 Flamm. 0-10,Moon 1 Toxins 0-10,Moon 1 Equatorial Temp,Moon 1 Polar Temp,Moon 1 Cloud Density 0-10,Moon 1 Equatorial Volatiles Desc,Moon 1 Polar Volatiles Desc,Moon 1 Clouds Desc,Moon 1 Type,Moon 1 Geographic Features,Moon 1 Activity,Moon 1 X,Moon 1 Y,Moon 2 Exists?,Moon 2 ID,Moon 2 Planet,Moon 1 Category,Moon 2 Name,Moon 2 Size,Moon 2 Gravity,Moon 2 Volcanism,Moon 2 Atmosph. Thickness 0-10,Moon 2 O2 0-10,Moon  CO2 0-10,Moon 2 Flamm. 0-10,Moon 2 Toxins 0-10,Moon 2 Equatorial Temp,Moon 2 Polar Temp,Moon 2 Cloud Density 0-10,Moon 2 Equatorial Volatiles Desc,Moon 2 Polar Volatiles Desc,Moon 2 Clouds Desc,Moon 2 Type,Moon 2 Geographic Features,Moon 2 Activity,Moon 2 X,Moon 2 Y,Biggest GG Planet #,Trojans Exist?,(Trojans Roid Type),Leading Trojans ID,Leading Trojans Name,Leading Trojan X,Leading Trojans Y,Trailing Trojans ID,Trailing Trojans Name,Trailing Trojans X,Trailing Trojans Y,Comet 1 Exists?,Comet 1 Graphic Tail Direction,Comet 1 ID,Comet 1 X,Comet 1 Y,Comet 2 Exists?,Comet 2 Graphic Tail Direction,Comet 2 ID,Comet 2 X,Comet 2 Y
128,DSN-1285,-169,-457,,,129,146,128,Dwarf,Red,M,1,10,-,DSN-1285 Alpha,Binary,-201,-258,129,Dwarf,Brown,Br.,0,DSN-1285 Beta,201,258,Detached,,129,,,,Red,M,,,,,,0,0,0,0,1,Ice,0,0,0,0,0,3,0,-,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,Exists,130,DSN-1285 Beta I,2,,,Small,Massive,0,11,0,0,10,0,,,11,,,Global Cloud Layers,Gas Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Ammonia Rain, Diamond Rain, Hail, Snow",339,411,Exists,131,3,DSN-1285 Beta I a,Small,Light,0,3,2,2,2,0,3,2,7,Deep Equatorial Water Ocean,Deep Polar Water-Ice Shell,Total Water Cloud Cover,Shrouded Moon,"Gravitational Rounding, Water Ocean, Polar Water-Ice Caps","Synchronized Rotation, Wind, Water Rain, Fog, Water-Spouts, Lightning, Sea Storms, Hurricanes, Tsunamis, Water Snow, Water Frost, Water Hail, Ice Calving, Water-Icebergs, Blizzards, Snow Devils",371,387,Exists,132,3,Moon,DSN-1285 Beta I b,Small,Light,10,3,1,1,0,3,2,1,2,Partial Global Water-Ice Shell,,Sparse Water Clouds,Mixed Moon,"Gravitational Rounding, Mountains, Plains, Dunes, Water-Ice Glaciers, Volcanoes","Synchronized Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Ash Rain, Lava Flows, Volcanic Eruptions, Volcanic Lightning, Ash Devils, Ash Blizzards, Wind, Dust Devils, Dust Storms, Water Snow, Water Frost, Blizzards, Avalanches, Snow Devils, Water Cryvolcanic Eruptions, Ice Rain",401,430,3,Exist,Icy Met.,133,DSN-1285 Beta I Gr.,138,454,134,DSN-1285 Beta I Tr.,403,215,-,,,,,-,,,,
129,DSN-1291,-147,-441,,128,,147,135,Dwarf,Red,M,1,10,-,DSN-1291 Alpha,Binary,48,180,136,Dwarf,Red,M,1,DSN-1291 Beta,-48,-180,Detached,,136,,,,Red,M,,,,,,0,0,0,0,6,Ice,2,0,0,0,0,7,0,-,,,,,,,,,,,,,,,,,,,,,,,,Exists,137,DSN-1291 Beta I,1,,Medium,Medium,0,3,0,1,0,0,6,5,0,-,,,Dry Planet,"Mountains, Plains, Dunes, Volcanoes, Craters","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Ash Rain, Wind, Dust Devils, Dust Storms",59,-167,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,Exists,0,138,251,26,-,,,,
130,DSN-1301,-110,-450,,,131,148,139,Dwarf,Brown,Br.,0,0,-,DSN-1301 Alpha,Triple,12,-10,140,Dwarf,Red,M,1,DSN-1301 Beta,-12,10,Contact,,140,,141,Dwarf,Red,M,1,10,DSN-1301 Gamma,79,-647,0,0,0,0,2,Ice,1,0,0,0,0,7,0,Exists,142,DSN-1301 AB I,10,,Large,Heavy,0,5,0,3,0,5,9,8,0,-,,,Dry Planet,"Mountains, Plains, Dunes, Volcanoes","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Ash Rain, Lava Flows, Volcanic Eruptions, Volcanic Lightning, Ash Devils, Ash Blizzards, Wind, Dust Devils, Dust Storms",-86,-95,Exists,143,DSN-1301 AB II,,,Small,Massive,0,11,0,7,0,0,,,11,,,Global Cloud Layers,Gas Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Ammonia Rain, Diamond Rain, Hail, Snow",121,-272,-,,,,,,,,,,,,,,,,,,,,,,,,,Exists,144,2,DSN-1301 AB II a,Small,Light,10,3,3,0,0,3,6,5,0,-,,,Dry Moon,"Gravitational Rounding, Mountains, Plains, Dunes, Volcanoes","Synchronized Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Ash Rain, Lava Flows, Volcanic Eruptions, Volcanic Lightning, Ash Devils, Ash Blizzards, Wind, Dust Devils, Dust Storms",148,-302,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,Exists,67.5,145,20,112,-,,,,
131,DSN-1319,-84,-438,,130,132,149,146,Dwarf,Brown,Br.,0,0,-,DSN-1319,Single,0,0,,,Red,M,,,,,,,146,,,,Red,M,,,,,,0,0,0,0,1,Ice,0,0,0,0,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,Exists,147,DSN-1319 I,0,,Large,Heavy,0,2,2,0,0,0,0,0,2,Global Water-Ice Shell,,Sparse Water Clouds,Ice-Shell Planet,"Mountains, Plains, Craters","Day/Night Rotation, Sunrises, Sunsets, Meteor Impacts, Meteor Streaks, Aurorae, Wind, Snow Devils, Blizzards, Lightning, Water Snow, Water Frost, Avalanches",580,113,Exists,148,DSN-1319 II,0,,,Large,Massive,0,11,3,0,0,0,,,11,,,Global Cloud Layers,Ice Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices, Shrouded Supercritical-Fluid Ocean","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Water Rain, Diamond Rain, Hail, Snow",-1031,238,Exists,149,2,DSN-1319 I a,Micro,Micro,1,,,,,,0,0,,Surface Ice,,,Icy Minimoon,"Rocky Surface, Ice","Synchronized Rotation, Sunrises, Sunsets",613,91,Exists,150,2,Ice Ring,DSN-1319 I b,,,,,,,,,,,,,,,Icy Ring,"Rocks, Boulders, Dust, Ice Chunks, Ice Dust, Gaps, Ringlets, Spiral Waves, Clusters, Clumps, Shepherd Moons, Gap Moonlets, Propeller Moonlets",,516,99,,-,,,,,,,,,,-,,,,,-,,,,
132,DSN-1324,-22,-492,,131,,150,152,Dwarf,Orange,K,2,7,-,DSN-1324 Alpha,Binary,613,273,153,Dwarf,Red,M,1,DSN-1324 Beta,-613,-273,Detached,,153,,,,Red,M,,,,,,0,0,0,0,8,No Ice,2,0,0,0,0,6,0,Exists,154,DSN-1324 Alpha I,,,Large,Massive,0,11,0,0,0,0,,,11,,,Global Cloud Layers,Gas Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Ammonia Rain, Diamond Rain, Hail, Snow",837,581,Exists,155,DSN-1324 Beta I,,,Small,Massive,1,11,0,0,0,0,,,11,,,Global Cloud Layers,Eyeball Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices","Synchronized Rotation, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Ammonia Rain, Diamond Rain, Hail, Snow",-588,-181,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,Exists,156,1,Moon,DSN-1324 Alpha I a,Micro,Micro,10,,,,,,3,2,,-,,,Minimoon,Rocky Surface,"Synchronized Rotation, Sunrises, Sunsets",858,642,1,Exist,Icy Carb.,157,DSN-1324 Alpha I Gr.,458,621,158,DSN-1324 Alpha I Tr.,992,233,-,,,,,-,,,,
133,DSN-1339,-11,-484,,,134,151,159,Neutron,Neutron,N.,14,10,Neutron Star,DSN-1339 Alpha,Binary,335,-312,160,Dwarf,Red,M,1,DSN-1339 Beta,-670,625,Detached,,160,,,,Red,M,,,,,,0,0,0,0,4,No Ice,1,0,0,0,0,7,0,Exists,161,DSN-1339 Alpha I,10,,Large,Heavy,0,6,2,4,0,6,11,10,3,Deep Global Lava Ocean,,Abundant Ash Clouds,Lava Planet,Lava Ocean,"Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Ash Rain, Volcanic Lightning, Ash Devils, Wind Storms, Ash Blizzards, Lava Tsunamis",335,-580,Exists,162,DSN-1339 Beta I,,Carbonaceous,Medium,Micro,0,,,,,,,,,-,,,Asteroid,Rocky Surface,Rotation,-787,633,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,Exists,67.5,163,-802,562,Exists,135,164,-116,108
134,DSN-1342,73,-465,,133,,152,165,Dwarf,Red,M,1,10,-,DSN-1342 Alpha,Triple,122,47,166,Dwarf,Orange,K,2,DSN-1342 Beta,-122,-47,Detached,,166,,167,Dwarf,Red,M,1,10,DSN-1342 Gamma,570,385,0,0,0,0,10,No Ice,3,0,0,0,0,9,0,Exists,168,DSN-1342 Alpha I,,Carbonaceous,Medium,Micro,1,,,,,,,,,-,,,Asteroid,Rocky Surface,Rotation,206,40,Exists,169,DSN-1342 Beta I,,,Medium,Massive,1,11,0,0,0,0,,,11,,,Global Cloud Layers,Eyeball Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices","Synchronized Rotation, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Ammonia Rain, Diamond Rain, Hail, Snow",-45,-78,Exists,170,DSN-1342 Gamma I,8,,,Medium,Massive,0,11,9,1,0,0,,,11,,,Global Cloud Layers,Gas Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Ammonia Rain, Diamond Rain, Hail, Snow",563,516,-,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,Exists,315,171,-1,2,-,,,,
135,DSN-1352,105,-440,,,136,153,172,Dwarf,Red,M,1,10,-,DSN-1352,Single,0,0,,,Red,M,,,,,,,172,,,,Red,M,,,,,,0,0,0,0,4,Ice,1,0,0,0,0,3,0,Exists,173,DSN-1352 I,1,,Medium,Medium,0,1,0,0,0,0,3,2,0,-,,,Dry Planet,"Mountains, Plains, Dunes, Volcanoes, Craters","Day/Night Rotation, Sunrises, Sunsets, Meteor Impacts, Meteor Streaks, Aurorae, Ash Rain, Wind, Dust Devils, Dust Storms",31,173,Exists,174,DSN-1352 II,0,,Large,Heavy,0,9,0,0,8,0,3,2,0,-,,,Dry Planet,"Mountains, Plains, Dunes","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Wind, Dust Devils, Dust Storms",297,258,Exists,175,DSN-1352 III,0,,,Medium,Massive,0,11,0,0,0,0,,,11,,,Global Cloud Layers,Ice Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices, Shrouded Supercritical-Fluid Ocean","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Water Rain, Diamond Rain, Hail, Snow",-784,240,-,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,-,,,,
136,DSN-1368,166,-450,,135,137,154,176,Dwarf,Red,M,1,10,-,DSN-1368,Single,0,0,,,Red,M,,,,,,,176,,,,Red,M,,,,,,0,0,0,0,3,Ice,1,0,0,0,0,3,0,-,,,,,,,,,,,,,,,,,,,,,,,,Exists,177,DSN-1368 I,,,Large,Massive,0,11,7,0,0,0,,,11,,,Global Cloud Layers,Ice Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices, Shrouded Supercritical-Fluid Ocean","Day/Night Rotation, Sunrises, Sunsets, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Water Rain, Diamond Rain, Hail, Snow",-429,258,-,,,,,,,,,,,,,,,,,,,,,,,,,Exists,178,2,DSN-1368 I a,Micro,Micro,10,,,,,,1,0,,Surface Ice,,,Icy Minimoon,"Rocky Surface, Ice","Synchronized Rotation, Sunrises, Sunsets",-460,232,Exists,179,2,Ice Ring,DSN-1368 I b,,,,,,,,,,,,,,,Icy Ring,"Rocks, Boulders, Dust, Ice Chunks, Ice Dust, Gaps, Ringlets, Spiral Waves, Clusters, Clumps, Shepherd Moons, Gap Moonlets, Propeller Moonlets",,-381,301,2,Exist,Icy Carb.,181,DSN-1368 I Gr.,-438,-242,182,DSN-1368 I Tr.,8,500,-,,,,,-,,,,
137,DSN-1375,213,-421,,136,138,155,183,Dwarf,Red,M,1,10,-,DSN-1375 Alpha,Binary,-3,176,184,Dwarf,Red,M,1,DSN-1375 Beta,3,-176,Detached,,184,,,,Brown,Br.,,,,,,0,0,0,0,7,Ice,2,0,0,0,0,7,0,-,,,,,,,,,,,,,,,,,,,,,,,,Exists,185,DSN-1375 Beta I,,,Large,Massive,1,11,3,10,0,0,,,11,,,Global Cloud Layers,Eyeball Giant,"Atmospheric Bands, Cloud Layers, Polar Vortices","Synchronized Rotation, Meteor Streaks, Aurorae, Wind, Jetstreams, Storms, Lightning, Cyclones, Cloud Pillars, Haze, Free-Floating Clouds, Ammonia Rain, Diamond Rain, Hail, Snow",5,-88,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,Exists,337.5,186,144,-144
